IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2173: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2174: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 2175: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2176: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2177: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2178: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2179: This is number 8 | confidence 83% | expected 8 | CORRECT
IMG 2180: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2181: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2182: NOT A NUMBER | confidence 46% | expected 1 | TRASH
IMG 2183: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2184: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2185: This is number 0 | confidence 89% | expected 0 | CORRECT
IMG 2186: NOT A NUMBER | confidence 14% | expected 2 | TRASH
IMG 2187: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2188: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 2189: NOT A NUMBER | confidence 32% | expected 9 | TRASH
IMG 2190: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2191: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2192: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 2193: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2194: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2195: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2196: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2197: This is number 4 | confidence 85% | expected 4 | CORRECT
IMG 2198: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 2199: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 2200: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 2201: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2202: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2203: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2204: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2205: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2206: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2207: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2208: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 2209: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2210: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 2211: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2212: This is number 9 | confidence 84% | expected 9 | CORRECT
IMG 2213: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2214: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2215: This is number 6 | confidence 87% | expected 6 | CORRECT
IMG 2216: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2217: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2218: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2219: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 2220: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2221: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 2222: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 2223: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2224: This is number 5 | confidence 78% | expected 5 | CORRECT
IMG 2225: NOT A NUMBER | confidence 45% | expected 8 | TRASH
IMG 2226: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2227: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2228: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2229: This is number 3 | confidence 85% | expected 3 | CORRECT
IMG 2230: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2231: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2232: This is number 9 | confidence 85% | expected 9 | CORRECT
IMG 2233: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2234: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2235: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 2236: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2237: This is number 5 | confidence 88% | expected 5 | CORRECT
IMG 2238: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2239: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2240: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2241: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2242: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 2243: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2244: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 2245: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2246: This is number 8 | confidence 89% | expected 8 | CORRECT
IMG 2247: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2248: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2249: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2250: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2251: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2252: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2253: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2254: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2255: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2256: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2257: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2258: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2259: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2260: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 2261: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2262: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2263: This is number 9 | confidence 94% | expected 9 | CORRECT
IMG 2264: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2265: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2266: This is number 6 | confidence 79% | expected 1 | INCORRECT
IMG 2267: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2268: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2269: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2270: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2271: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2272: NOT A NUMBER | confidence 10% | expected 8 | TRASH
IMG 2273: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2274: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2275: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2276: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 2277: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2278: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2279: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 2280: NOT A NUMBER | confidence 25% | expected 3 | TRASH
IMG 2281: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2282: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2283: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2284: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2285: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2286: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2287: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2288: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2289: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2290: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2291: This is number 5 | confidence 88% | expected 5 | CORRECT
IMG 2292: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 2293: NOT A NUMBER | confidence 28% | expected 9 | TRASH
IMG 2294: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 2295: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2296: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2297: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 2298: This is number 8 | confidence 80% | expected 8 | CORRECT
IMG 2299: This is number 2 | confidence 88% | expected 2 | CORRECT
IMG 2300: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2301: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2302: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2303: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2304: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2305: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 2306: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2307: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2308: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2309: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 2310: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2311: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 2312: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2313: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 2314: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2315: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2316: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2317: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2318: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 2319: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2320: This is number 9 | confidence 84% | expected 9 | CORRECT
IMG 2321: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2322: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2323: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2324: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2325: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 2326: NOT A NUMBER | confidence 26% | expected 0 | TRASH
IMG 2327: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2328: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2329: This is number 0 | confidence 83% | expected 0 | CORRECT
IMG 2330: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2331: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2332: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2333: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 2334: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2335: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2336: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2337: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2338: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2339: This is number 5 | confidence 88% | expected 5 | CORRECT
IMG 2340: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2341: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 2342: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 2343: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 2344: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2345: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2346: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2347: This is number 3 | confidence 88% | expected 3 | CORRECT
IMG 2348: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 2349: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2350: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 2351: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2352: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 2353: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2354: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2355: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 2356: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2357: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2358: NOT A NUMBER | confidence 21% | expected 1 | TRASH
IMG 2359: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2360: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2361: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2362: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2363: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 2364: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 2365: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2366: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2367: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2368: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2369: NOT A NUMBER | confidence 9% | expected 5 | TRASH
IMG 2370: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2371: This is number 4 | confidence 87% | expected 4 | CORRECT
IMG 2372: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2373: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2374: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 2375: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 2376: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2377: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2378: This is number 0 | confidence 89% | expected 0 | CORRECT
IMG 2379: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2380: This is number 9 | confidence 65% | expected 9 | CORRECT
IMG 2381: This is number 8 | confidence 85% | expected 8 | CORRECT
IMG 2382: This is number 8 | confidence 73% | expected 8 | CORRECT
IMG 2383: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2384: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 2385: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2386: This is number 4 | confidence 88% | expected 4 | CORRECT
IMG 2387: This is number 1 | confidence 79% | expected 9 | INCORRECT
IMG 2388: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2389: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2390: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2391: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2392: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2393: This is number 8 | confidence 89% | expected 8 | CORRECT
IMG 2394: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2395: This is number 0 | confidence 79% | expected 8 | INCORRECT
IMG 2396: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2397: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2398: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 2399: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2400: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2401: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2402: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2403: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2404: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 2405: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 2406: NOT A NUMBER | confidence 27% | expected 9 | TRASH
IMG 2407: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2408: NOT A NUMBER | confidence 16% | expected 3 | TRASH
IMG 2409: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 2410: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2411: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2412: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 2413: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2414: This is number 4 | confidence 87% | expected 9 | INCORRECT
IMG 2415: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2416: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2417: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 2418: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2419: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2420: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2421: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2422: This is number 6 | confidence 77% | expected 6 | CORRECT
IMG 2423: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2424: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2425: This is number 8 | confidence 52% | expected 8 | CORRECT
IMG 2426: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 2427: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2428: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2429: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2430: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2431: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2432: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2433: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 2434: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2435: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2436: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2437: This is number 2 | confidence 82% | expected 2 | CORRECT
IMG 2438: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2439: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2440: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2441: This is number 3 | confidence 86% | expected 3 | CORRECT
IMG 2442: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2443: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2444: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2445: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2446: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2447: This is number 4 | confidence 77% | expected 4 | CORRECT
IMG 2448: This is number 9 | confidence 82% | expected 9 | CORRECT
IMG 2449: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 2450: This is number 3 | confidence 59% | expected 3 | CORRECT
IMG 2451: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 2452: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2453: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2454: NOT A NUMBER | confidence 26% | expected 6 | TRASH
IMG 2455: This is number 0 | confidence 88% | expected 0 | CORRECT
IMG 2456: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2457: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2458: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2459: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 2460: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2461: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2462: NOT A NUMBER | confidence 32% | expected 2 | TRASH
IMG 2463: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2464: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 2465: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2466: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2467: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2468: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2469: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2470: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 2471: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2472: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 2473: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 2474: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2475: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2476: This is number 5 | confidence 80% | expected 5 | CORRECT
IMG 2477: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2478: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2479: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2480: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2481: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2482: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2483: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2484: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2485: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2486: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2487: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2488: NOT A NUMBER | confidence 15% | expected 2 | TRASH
IMG 2489: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2490: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2491: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2492: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2493: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 2494: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 2495: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 2496: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 2497: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2498: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2499: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2500: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 2501: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2502: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2503: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 2504: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2505: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2506: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2507: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2508: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2509: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2510: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2511: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2512: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 2513: This is number 7 | confidence 82% | expected 7 | CORRECT
IMG 2514: This is number 4 | confidence 88% | expected 4 | CORRECT
IMG 2515: This is number 5 | confidence 89% | expected 5 | CORRECT
IMG 2516: This is number 9 | confidence 85% | expected 9 | CORRECT
IMG 2517: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2518: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2519: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2520: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2521: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2522: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2523: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 2524: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2525: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2526: This is number 5 | confidence 78% | expected 5 | CORRECT
IMG 2527: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2528: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 2529: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2530: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 2531: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 2532: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 2533: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2534: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 2535: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 2536: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2537: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 2538: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2539: This is number 7 | confidence 90% | expected 7 | CORRECT
IMG 2540: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2541: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2542: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 2543: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2544: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2545: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2546: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2547: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2548: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2549: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2550: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 2551: This is number 3 | confidence 77% | expected 3 | CORRECT
IMG 2552: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 2553: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2554: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2555: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2556: NOT A NUMBER | confidence 19% | expected 5 | TRASH
IMG 2557: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2558: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2559: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 2560: This is number 2 | confidence 60% | expected 3 | INCORRECT
IMG 2561: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2562: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 2563: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2564: This is number 7 | confidence 87% | expected 7 | CORRECT
IMG 2565: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2566: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2567: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2568: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 2569: This is number 5 | confidence 87% | expected 5 | CORRECT
IMG 2570: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 2571: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2572: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 2573: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 2574: This is number 5 | confidence 87% | expected 5 | CORRECT
IMG 2575: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 2576: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2577: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 2578: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 2579: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2580: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 2581: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2582: This is number 9 | confidence 79% | expected 9 | CORRECT
IMG 2583: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2584: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 2585: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 2586: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 2587: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 2588: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 2589: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 2590: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 2591: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 2592: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2593: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 2594: This is number 3 | confidence 93% | expected 3 | CORRECT
